dataset_id	module	activation_status	adc_decision_axis	activation_rule	activation_context	default_execution_order	reason
GSE178318	B	CORE_ACTIVE	prevalence	every_target	ANY	1	Matched primary/CRLM scRNA with preoperative chemo; core malignant-cell prevalence signal.
GSE178318	C	CORE_ACTIVE	refractory_or_treated_presence	every_target	ANY	2	Same cohort as the Module B row; matched primary/LM samples in preoperative-chemo patients. Reclassified from persistence to refractory_or_treated_presence on 2026-08-21 (round 3 review): this is a cross-sectional primary-vs-metastasis comparison within treated patients, not a paired pre/post-treatment longitudinal design. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE225857	B	CORE_ACTIVE	prevalence	every_target	ANY	2	6 CRLM patients, 27 matched primary/LM/adjacent/PB samples, preoperative chemo and/or RT, scRNA+spatial. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE225857	C	CORE_ACTIVE	refractory_or_treated_presence	every_target	ANY	3	Same cohort as the Module B row; matched primary/LM/adjacent/PB samples in preoperative chemo/RT patients. Reclassified from persistence to refractory_or_treated_presence on 2026-08-21 (round 3 review): cross-sectional comparison within treated patients, not a paired longitudinal design. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE274551	C	CORE_ACTIVE	refractory_or_treated_presence	every_target	RAS_WT	1	Refractory RAS-WT mCRC, 35 RNA-seq samples with PD/PR/SD clinical-response context; the clearest available refractory-clinical-context source. Reclassified from persistence to refractory_or_treated_presence on 2026-08-21 (round 3 review): per official GEO design this is a single baseline biopsy per patient (pre-trial-treatment, post-prior-anti-EGFR), not a paired pre/post-treatment measurement -- it shows presence in refractory disease and baseline-to-outcome association, not treatment-induced retention. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE196576	C	CORE_CONTEXT	clinical_endpoint_context	context_specific	FIRST_LINE_VALIDATION	4	CALGB-SWOG 80405: 469 first-line mCRC tumor RNA-seq profiles, population-scale endpoint replication. Reclassified from persistence to clinical_endpoint_context on 2026-08-21 (round 3 review): first-line response-association cohort, not a paired pre/post-treatment persistence design. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE84267	C	CONTEXT_ACTIVE	longitudinal_persistence	context_specific	ANTI_EGFR_REFRACTORY	5	Anti-EGFR refractory hypothesis: 2 mCRC patients, matched liver biopsy, pre-cetuximab to acquired resistance -- a genuine paired same-patient pre/post-treatment design, so this stays longitudinal_persistence (the only dataset in this module that actually is one). n=2, paired within-patient direction only, never a population-level claim. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE294385	C	CONTEXT_ACTIVE	refractory_or_treated_presence	after_shortlist_named_uncertainty	MRD_RECURRENCE	6	MRD/recurrence: 11 patients, 37 primary/liver/lung macro-/micrometastases, ~341k spatial spots. Reclassified from persistence to refractory_or_treated_presence on 2026-08-21 (round 3 review): per official GEO design this is a macro-/micrometastatic presence and MRD/DFS/chemo-resistance-context cohort, not a classic longitudinal pre/post cohort. Activate only after a target already has a shortlist candidate. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE235919	C	CONTEXT_ACTIVE	clinical_endpoint_context	context_specific	RAS_MUTANT	7	34 RAS-mutant unresectable mCRC RNA-seq, response annotation. Reclassified from persistence to clinical_endpoint_context on 2026-08-21 (round 3 review): first-line responder/non-responder association, not a persistence design. Activate only within RAS-mutant territory. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE5851	C	CORE_CONTEXT	clinical_endpoint_context	context_specific	ANTI_EGFR_REFRACTORY	8	Advanced mCRC, pretreatment metastatic biopsies, cetuximab monotherapy response. Reclassified from persistence to clinical_endpoint_context on 2026-08-21 (round 3 review): pretreatment response-association cohort, not post-treatment persistence. Old Affymetrix platform, bulk. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
