dataset_id	organ_id	hpa_tissue_name	tissue_group	inclusion_role	rationale	source_layer	review_status	stop_condition
HPA_normal_tissue	LIVER	Liver	Liver & Gallbladder	clearance_and_hepatobiliary	Core hepatic reference for systemic exposure and hepatobiliary safety context.	RNA consensus/HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not interpret expression as hepatotoxicity or therapeutic window without target-specific review.
HPA_normal_tissue	KIDNEY	Kidney	Kidney & Urinary bladder	clearance_and_renal	Core renal reference for systemic exposure and renal safety context.	RNA consensus/HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not infer renal toxicity, filtration or target restriction from atlas presence alone.
HPA_normal_tissue	HEART_MUSCLE	Heart muscle	Muscle & Vascular tissue	cardiac_safety	Core cardiac reference for potential on-target or payload-associated cardiac risk.	RNA consensus/HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not infer cardiotoxicity or clinical risk without target-specific and pharmacology evidence.
HPA_normal_tissue	LUNG	Lung	Respiratory system	respiratory_safety	Core pulmonary reference for systemic safety context.	RNA consensus/HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not infer pulmonary toxicity or target restriction from normal expression alone.
HPA_normal_tissue	BONE_MARROW	Bone marrow	Bone marrow & Lymphoid tissues	hematologic_safety	Core hematopoietic reference for potential payload and target-related blood toxicity context.	RNA HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not infer myelosuppression or hematologic clinical risk without target and exposure evidence.
HPA_normal_tissue	SPLEEN	Spleen	Bone marrow & Lymphoid tissues	immune_reticuloendothelial	Immune/reticuloendothelial reference complementary to bone marrow and lymphoid tissues.	RNA consensus/HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not infer immune toxicity or target engagement from atlas expression alone.
HPA_normal_tissue	COLON	Colon	Gastrointestinal tract	disease_lineage_and_gi	Disease-lineage normal-tissue reference and gastrointestinal safety context.	RNA consensus/HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not treat normal colon expression as a CRC tumor/normal comparison or efficacy signal.
HPA_normal_tissue	SMALL_INTESTINE	Small intestine	Gastrointestinal tract	gi_safety	Small-intestinal reference for gastrointestinal and absorptive-tissue safety context.	RNA consensus/HPA; normal IHC	PROPOSED_SOURCE_ONLY	Do not infer gastrointestinal toxicity or exposure from the reference set alone.
HPA_normal_tissue	PANCREAS	Pancreas	Pancreas	metabolic_and_gi_safety	Pancreatic reference for metabolic and digestive-organ safety context.	RNA consensus/HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not infer pancreatic toxicity or target restriction without target-specific evidence.
HPA_normal_tissue	SKIN	Skin	Skin	barrier_and_external_tissue	Barrier-tissue reference for common normal-tissue safety context.	RNA consensus/HPA; normal IHC; protein MS	PROPOSED_SOURCE_ONLY	Do not infer dermatologic toxicity or clinical incidence from atlas data alone.
