indication_id	parent_id	label	disease_state	molecular_context	treatment_line	prior_therapy	anatomy	unmet_need_role	required_evidence_axes	source_ref	review_status	notes
crc_mcrc_refractory_mss		Refractory MSS/pMMR metastatic CRC	UNRESECTABLE_METASTATIC	MSS_OR_PMMR	>=3L	FLUOROPYRIMIDINE_OXALIPLATIN_IRINOTECAN_PLUS_APPROPRIATE_TARGETED_THERAPY	ANY_METASTATIC_SITE	CORE_ADC_UNMET_NEED	PATIENT_STATE_MALIGNANT_STATE_SURFACE_TARGET_DEPENDENCY_NORMAL_TISSUE_WINDOW	architecture:CRC clinical indication ontology	SEED_UNREVIEWED	Ontology node only; no target or efficacy claim.
mcrc_mss_ras_mutant	crc_mcrc_refractory_mss	MSS/pMMR RAS-mutant metastatic CRC	UNRESECTABLE_METASTATIC	MSS_OR_PMMR_RAS_MUTANT	>=1L	CHEMOTHERAPY_PLUS_ANTI_VEGF_OR_OTHER_STANDARD	ANY_METASTATIC_SITE	MOLECULARLY_DEFINED_UNMET_NEED	PATIENT_STATE_TREATMENT_HISTORY_MALIGNANT_STATE_DEPENDENCY_NORMAL_TISSUE_WINDOW	architecture:CRC clinical indication ontology	SEED_UNREVIEWED	RAS subtype and prior therapy require explicit sample-level metadata.
mcrc_liver_metastasis	crc_mcrc_refractory_mss	Colorectal liver metastasis	METASTATIC	ANY	ANY	ANY	LIVER	ANATOMICALLY_DEFINED_CONTEXT	PATIENT_STATE_MALIGNANT_STATE_SURFACE_TARGET_NORMAL_TISSUE_WINDOW	architecture:CRC clinical indication ontology	SEED_UNREVIEWED	Anatomy node; not a treatment indication by itself.
mcrc_preop_chemotherapy_crlm	mcrc_liver_metastasis	Primary/CRLM matched specimens after preoperative chemotherapy	METASTATIC_OR_RESECTABLE_METASTATIC	ANY	PERIOPERATIVE	CAPEOX_OR_FOLFOX_BEV	PRIMARY_AND_LIVER_METASTASIS	TREATMENT_EXPOSURE_CONTEXT	PATIENT_STATE_TREATMENT_TIMING_MALIGNANT_STATE	architecture:CRC clinical indication ontology	SEED_UNREVIEWED	Requires patient-level exposure and matched specimen timing.
mcrc_post_systemic_therapy	crc_mcrc_refractory_mss	Post-systemic-therapy CRC	METASTATIC_OR_RECURRENT	ANY	POST_TREATMENT	PRIOR_SYSTEMIC_THERAPY	ANY_METASTATIC_SITE	THERAPY_RESISTANCE_CONTEXT	TREATMENT_HISTORY_MALIGNANT_STATE_DEPENDENCY_DRUG_RESPONSE	architecture:CRC clinical indication ontology	SEED_UNREVIEWED	Do not infer resistance from dataset title alone.
mcrc_molecularly_selected_refractory	crc_mcrc_refractory_mss	Molecularly selected refractory mCRC	UNRESECTABLE_METASTATIC	BRAF_KRAS_G12C_HER2_NTRK_RET_OR_OTHER	>=2L	GENOTYPE_APPROPRIATE_TARGETED_THERAPY	ANY_METASTATIC_SITE	BIOMARKER_DEFINED_UNMET_NEED	MOLECULAR_STATE_TREATMENT_HISTORY_DEPENDENCY_DRUG_RESPONSE	architecture:CRC clinical indication ontology	SEED_UNREVIEWED	Biomarker eligibility and prior targeted therapy must be explicit.
mcrc_malignant_plasticity	crc_mcrc_refractory_mss	Metastatic CRC malignant-state/plasticity context	METASTATIC	ANY	ANY	ANY	MULTI_SITE	MALIGNANT_STATE_CONTEXT	PATIENT_STATE_MALIGNANT_STATE	architecture:CRC evidence chain	SEED_UNREVIEWED	State evidence is not target or therapeutic-window evidence.
mcrc_organoid_drug_response	crc_mcrc_refractory_mss	Advanced/mCRC PDO drug-response context	ADVANCED_OR_METASTATIC	ANY	ANY	ANY	LIVER_OR_OTHER_METASTASIS	FUNCTIONAL_RESPONSE_CONTEXT	PATIENT_STATE_MALIGNANT_STATE_DRUG_RESPONSE	architecture:functional dependency layer	SEED_UNREVIEWED	Assay response is not clinical response without explicit linkage.
mcrc_functional_dependency	crc_mcrc_refractory_mss	CRC functional dependency context	ADVANCED_OR_METASTATIC_OR_CELL_LINE_MODEL	ANY	ANY	ANY	ANY	CAUSAL_DEPENDENCY_CONTEXT	MALIGNANT_STATE_DEPENDENCY	architecture:functional dependency layer	SEED_UNREVIEWED	Cell-line dependency is orthogonal evidence, not patient proof.
normal_tissue_safety_reference		Normal-tissue ADC safety reference	NORMAL_REFERENCE	NA	NA	NA	COLON_SMALL_INTESTINE_LIVER_LUNG_HEART_KIDNEY_SKIN_BLOOD	THERAPEUTIC_WINDOW_REFERENCE	NORMAL_TISSUE_PROTEIN_RNA_IHC_SUBCELLULAR	architecture:normal-tissue safety reference	SEED_UNREVIEWED	Negative-control reference; cannot establish a complete product-level therapeutic index.
surface_target_therapeutic_window		Surface-target therapeutic-window pre-screen	ANY	ANY	ANY	ANY	TUMOR_AND_NORMAL_REFERENCE	TARGET_REVIEW_FRAME	SURFACE_TARGET_NORMAL_TISSUE_PROTEIN_ANTIGEN_DENSITY	architecture:ADC evidence chain	SEED_UNREVIEWED	No target is populated in this ontology seed.
